path,code,main_class,sensitivity_class,alpha_ratio,centroid,bandwidth,low_prop,mid_prop,high_prop
/tmp/drone_acoustic_2026w14_phase1_downloads/raw/crema_d/audios/1001_DFA_ANG_XX.wav,ANG,emergency,emergency,0.32926836609840393,668.7860107421875,668.1978759765625,0.3695843815803528,0.5433049201965332,0.08710603415966034
/tmp/drone_acoustic_2026w14_phase1_downloads/raw/crema_d/audios/1001_DFA_FEA_XX.wav,FEA,emergency,emergency,0.31301045417785645,564.2261962890625,581.3814086914062,0.4049608111381531,0.5318987965583801,0.06294098496437073
/tmp/drone_acoustic_2026w14_phase1_downloads/raw/crema_d/audios/1001_DFA_NEU_XX.wav,NEU,normal,normal,0.15591958165168762,549.8114624023438,614.713623046875,0.4541305601596832,0.4830837547779083,0.06277882307767868
/tmp/drone_acoustic_2026w14_phase1_downloads/raw/crema_d/audios/1001_IEO_ANG_HI.wav,ANG,emergency,emergency,0.2588229477405548,849.8518676757812,742.4613037109375,0.2667079567909241,0.6789420247077942,0.054303526878356934
/tmp/drone_acoustic_2026w14_phase1_downloads/raw/crema_d/audios/1001_IEO_ANG_LO.wav,ANG,emergency,emergency,0.21060089766979218,469.6636962890625,543.2041625976562,0.3517884910106659,0.6026279330253601,0.045577820390462875
/tmp/drone_acoustic_2026w14_phase1_downloads/raw/crema_d/audios/1001_IEO_ANG_MD.wav,ANG,emergency,emergency,0.29849734902381897,691.83056640625,622.967529296875,0.3986828029155731,0.5439748167991638,0.05730492249131203
/tmp/drone_acoustic_2026w14_phase1_downloads/raw/crema_d/audios/1001_IEO_FEA_HI.wav,FEA,emergency,emergency,0.6046617031097412,704.688720703125,624.6463623046875,0.175723597407341,0.7913841605186462,0.03285486623644829
/tmp/drone_acoustic_2026w14_phase1_downloads/raw/crema_d/audios/1001_IEO_FEA_LO.wav,FEA,emergency,emergency,0.27993619441986084,668.5023803710938,658.7681884765625,0.269016832113266,0.6824136972427368,0.048510510474443436
/tmp/drone_acoustic_2026w14_phase1_downloads/raw/crema_d/audios/1001_IEO_FEA_MD.wav,FEA,emergency,emergency,0.30242377519607544,710.1979370117188,684.5274047851562,0.34260061383247375,0.6006741523742676,0.056694649159908295
/tmp/drone_acoustic_2026w14_phase1_downloads/raw/crema_d/audios/1001_IEO_NEU_XX.wav,NEU,normal,normal,0.15766476094722748,607.8246459960938,697.5664672851562,0.5231361985206604,0.399016410112381,0.07777241617441177
